workerid,block_number,predicate,crit_noun,noun,class,other_noun,wrongs,nounclass,speaker_order,qud,response_other,response,block,slide_number
2,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",11
2,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.56,"""priors""",12
2,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.81,"""priors""",13
2,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.65,"""priors""",14
2,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.83,"""priors""",15
3,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""are""",0.51,0.54,"""cover_stories""",3
3,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""who""",0.51,0.54,"""cover_stories""",4
3,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""male/female""","""who""",0.46,0.73,"""cover_stories""",5
3,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""male/female""","""are""",0.49,0.5,"""cover_stories""",6
3,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",8
3,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.42,"""priors""",9
3,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.64,"""priors""",10
3,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",11
3,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.68,"""priors""",12
3,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",13
3,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",14
3,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",15
4,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",1,"""nationality""","""male/female""","""who""",0.49,0.97,"""cover_stories""",3
4,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""male/female""","""are""",0.49,0.94,"""cover_stories""",4
4,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.3,0.95,"""cover_stories""",5
4,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""who""",0.49,0.78,"""cover_stories""",6
4,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.87,"""priors""",8
4,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",9
4,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",10
4,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",11
4,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.4,"""priors""",12
4,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.79,"""priors""",13
4,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",14
4,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.2,"""priors""",15
5,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",1,"""nationality""","""female/male""","""who""",0.59,0.86,"""cover_stories""",3
5,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""female/male""","""are""",0.48,0.44,"""cover_stories""",4
5,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.73,0.82,"""cover_stories""",5
5,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""female/male""","""who""",0.35,0.33,"""cover_stories""",6
5,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",8
5,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",9
5,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.46,"""priors""",10
5,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",11
5,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",12
5,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.58,"""priors""",13
5,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",14
5,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",15
6,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.33,0.98,"""cover_stories""",3
6,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""who""",0.51,0.91,"""cover_stories""",4
6,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.28,0.86,"""cover_stories""",5
6,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""who""",0.14,0.86,"""cover_stories""",6
6,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.4,"""priors""",8
6,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",9
6,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",10
6,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",11
6,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.83,"""priors""",12
6,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.31,"""priors""",13
6,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",14
6,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",15
7,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""who""",0.49,0.82,"""cover_stories""",3
7,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""female/male""","""are""",0.47,0.91,"""cover_stories""",4
7,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""who""",0.47,0.94,"""cover_stories""",5
7,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.44,0.98,"""cover_stories""",6
7,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",8
7,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",9
7,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.55,"""priors""",10
7,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.32,"""priors""",11
7,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.19,"""priors""",12
7,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.38,"""priors""",13
7,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",14
7,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",15
8,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""are""",0.76,0.76,"""cover_stories""",3
8,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""who""",0.83,0.8,"""cover_stories""",4
8,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""who""",0.78,0.68,"""cover_stories""",5
8,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""are""",0.8,0.83,"""cover_stories""",6
8,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,1,"""priors""",8
8,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.44,"""priors""",9
8,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,1,"""priors""",10
8,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.36,"""priors""",11
8,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.91,"""priors""",12
8,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",13
8,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.34,"""priors""",14
8,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",15
9,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""male/female""","""who""",0.55,0.33,"""cover_stories""",3
9,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",1,"""age""","""male/female""","""who""",0.42,0.47,"""cover_stories""",4
9,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",2,"""political_party""","""female/male""","""are""",0.41,0.32,"""cover_stories""",5
9,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""female/male""","""are""",0.65,0.49,"""cover_stories""",6
9,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.46,"""priors""",8
9,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",9
9,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.36,"""priors""",10
9,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.47,"""priors""",11
9,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.38,"""priors""",12
9,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.46,"""priors""",13
9,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.3,"""priors""",14
9,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.28,"""priors""",15
10,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""are""",0.75,0.61,"""cover_stories""",3
10,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""female/male""","""who""",0.54,0.66,"""cover_stories""",4
10,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",1,"""nationality""","""male/female""","""who""",0.58,0.72,"""cover_stories""",5
10,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.51,0.71,"""cover_stories""",6
10,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",8
10,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",9
10,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.67,"""priors""",10
10,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.67,"""priors""",11
10,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.73,"""priors""",12
10,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",13
10,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",14
10,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.64,"""priors""",15
11,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""are""",0.47,0.72,"""cover_stories""",3
11,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""female/male""","""who""",0.43,0.57,"""cover_stories""",4
11,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""who""",0.28,0.53,"""cover_stories""",5
11,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""male/female""","""are""",0.36,0.73,"""cover_stories""",6
11,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",8
11,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.22,"""priors""",9
11,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",10
11,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",11
11,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.46,"""priors""",12
11,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.4,"""priors""",13
11,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.42,"""priors""",14
11,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",15
12,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""are""",0.52,0.65,"""cover_stories""",3
12,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.49,0.79,"""cover_stories""",4
12,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""who""",0.44,0.79,"""cover_stories""",5
12,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""who""",0.4,0.68,"""cover_stories""",6
12,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.1,"""priors""",8
12,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",9
12,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.35,"""priors""",10
12,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.08,"""priors""",11
12,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.4,"""priors""",12
12,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.82,"""priors""",13
12,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",14
12,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.14,"""priors""",15
13,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.48,0.89,"""cover_stories""",3
13,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""are""",0.57,0.73,"""cover_stories""",4
13,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""male/female""","""who""",0.13,0.85,"""cover_stories""",5
13,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""female/male""","""who""",0.55,0.88,"""cover_stories""",6
13,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",8
13,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.1,"""priors""",9
13,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",10
13,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",11
13,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",12
13,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.55,"""priors""",13
13,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.77,"""priors""",14
13,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.37,"""priors""",15
14,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""male/female""","""are""",0.49,1,"""cover_stories""",3
14,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.62,1,"""cover_stories""",4
14,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""female/male""","""who""",0.49,1,"""cover_stories""",5
14,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",1,"""nationality""","""male/female""","""who""",0.4,0.65,"""cover_stories""",6
14,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",8
14,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.38,"""priors""",9
14,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",10
14,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.02,"""priors""",11
14,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",12
14,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",13
14,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.47,"""priors""",14
14,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",15
15,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""are""",0.49,0.87,"""cover_stories""",3
15,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""are""",0.55,0.78,"""cover_stories""",4
15,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",1,"""political_party""","""female/male""","""who""",0.42,0.8,"""cover_stories""",5
15,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""who""",0.52,0.75,"""cover_stories""",6
15,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.41,"""priors""",8
15,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",9
15,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.81,"""priors""",10
15,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.88,"""priors""",11
15,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.87,"""priors""",12
15,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",13
15,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.29,"""priors""",14
15,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.56,"""priors""",15
16,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""male/female""","""are""",0.65,1,"""cover_stories""",3
16,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",1,"""nationality""","""female/male""","""who""",0.64,1,"""cover_stories""",4
16,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""who""",0.63,0.88,"""cover_stories""",5
16,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""are""",0.5,0.94,"""cover_stories""",6
16,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",8
16,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.85,"""priors""",9
16,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",10
16,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.25,"""priors""",11
16,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.8,"""priors""",12
16,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.33,"""priors""",13
16,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.58,"""priors""",14
16,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.8,"""priors""",15
17,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""female/male""","""who""",0.6,0.44,"""cover_stories""",3
17,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",1,"""political_party""","""female/male""","""are""",0.7,0.41,"""cover_stories""",4
17,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",4,"""nationality""","""female/male""","""are""",0.65,0.84,"""cover_stories""",5
17,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""who""",0.59,0.75,"""cover_stories""",6
17,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",8
17,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",9
17,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.58,"""priors""",10
17,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",11
17,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.58,"""priors""",12
17,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",13
17,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",14
17,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",15
18,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""who""",0.36,0.86,"""cover_stories""",3
18,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""are""",0.61,0.98,"""cover_stories""",4
18,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""who""",0.35,0.87,"""cover_stories""",5
18,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.47,0.81,"""cover_stories""",6
